flare_id,log,n_flashes,flare_len_s,beacon_id,night,since_dusk_s,glyph,shape_id,flourish,region,cluster,cluster_num,date_seen
FLR-00001,RIDGE,5,1.3356303,0,,,1+1+3,,,R1,U,11,31-03-2015
FLR-00002,RIDGE,5,1.2533,0,,,5R3,,,R2,K,5,03/06/2012
FLR-00003,RIDGE,5,0.7506056,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-00004,RIDGE,5,1.1783,0,,,5R3,,,R2,K,5,03/06/2012
FLR-00005,RIDGE,5,0.33,0,,,5R1,,,R1,T,10,12/03/2010
FLR-00006,LAMP,19,1.1359224,2,N-011,1926.1059,,17,0,,,,
FLR-00007,RIDGE,5,1.1504,0,,,5R3,,,R2,K,5,02/06/2012
FLR-00008,RIDGE,5,0.3417,6058,,,5R1,,,R1,U,11,11/02/2010
FLR-00009,RIDGE,7,0.503,0,,,7i,,,R1,R,8,19/04/2008
FLR-00010,LAMP,5,1.064225,2,N-001,7257.7969,,2,0,,,,
FLR-00011,LAMP,5,1.3804084,1,N-030,9501.9281,,2,0,,,,
FLR-00012,RIDGE,5,1.1961266,0,,,1+1+3,,,R1,A,1,02/03/2015
FLR-00013,RIDGE,5,1.2458747,0,,,1+1+3,,,R1,U,11,31-03-2015
FLR-00014,RIDGE,5,0.9389,5979,,,1+1+3,,,R1,J,4,31/01/2009
FLR-00015,RIDGE,5,1.226443,0,,,1+1+3,,,R1,F,3,31/03/2015
FLR-00016,LAMP,5,0.2837634,2,N-010,21263.8937,,4,0,,,,
FLR-00017,RIDGE,5,0.634,0,,,2+3,,,R1,V,12,26/01/2010
FLR-00018,RIDGE,5,1.0883,0,,,5R3,,,R2,K,5,03/06/2012
FLR-00019,LAMP,5,1.0299167,1,N-003,15625.9998,,2,0,,,,
FLR-00020,LAMP,5,1.5625084,1,N-044,23828.851,,2,0,,,,
FLR-00021,LAMP,5,1.315475,1,N-014,729.7659,,2,0,,,,
FLR-00022,RIDGE,5,1.3933,0,,,5R3,,,R2,P,7,05/03/2011
FLR-00023,RIDGE,5,0.354,0,,,5R1,,,R1,D,2,18/03/2010
FLR-00024,RIDGE,5,0.3294083,5726,,,5R1,,,R1,S,9,01-04-2015
FLR-00025,RIDGE,5,0.4659613,5151,,,5R2,,,R1,U,11,31-03-2015
FLR-00026,LAMP,6,0.721106,2,N-034,10070.0356,,16,0,,,,
FLR-00027,RIDGE,7,0.3091909,0,,,7i,,,R1,A,1,24-04-2016
FLR-00028,RIDGE,5,0.29,0,,,5R1,,,R1,D,2,21/03/2008
FLR-00029,RIDGE,5,1.2369,5987,,,1+1+3,,,R1,J,4,04/05/2008
FLR-00030,LAMP,5,0.81205,1,N-003,16707.4403,,2,0,,,,
FLR-00031,RIDGE,5,0.325,0,,,5R1,,,R1,T,10,26/01/2010
FLR-00032,RIDGE,5,1.3849,0,,,5R3,,,R2,K,5,03/06/2012
FLR-00033,LAMP,5,0.8888416,1,N-001,278.3621,,2,0,,,,
FLR-00034,LAMP,5,0.3395083,1,N-001,4384.8758,,4,0,,,,
FLR-00035,RIDGE,5,0.4984416,5151,,,5R2,,,R1,U,11,26/03/2015
FLR-00036,RIDGE,5,0.323,5759,,,5R1,,,R1,S,9,01-04-2015
FLR-00037,RIDGE,5,1.2724,5987,,,1+1+3,,,R1,J,4,04/05/2008
FLR-00038,LAMP,5,1.2885333,1,N-012,10020.4345,,2,0,,,,
FLR-00039,RIDGE,5,0.608,0,,,2+3,,,R1,V,12,26/01/2010
FLR-00040,RIDGE,5,1.4827707,0,,,5R3,,,R2,ZZZ,13,12-04-2016
FLR-00041,RIDGE,6,0.2671,5979,,,6i,,,R1,J,4,31/01/2009
FLR-00042,LAMP,5,1.3445583,3,N-020,11057.9493,,2,0,,,,
FLR-00043,RIDGE,5,0.5073814,0,,,5-SMUDGE,,,R1,A,1,02/03/2015
FLR-00044,LAMP,5,0.7831416,2,N-028,27420.2027,,2,0,,,,
FLR-00045,LAMP,17,1.1098811,1,N-001,252.4517,,17,0,,,,
FLR-00046,LAMP,13,0.972975,2,N-036,27001.3616,,17,1,,,,
FLR-00047,RIDGE,4,1.3277226,0,,,4R2,,,R1,A,1,02/03/2015
FLR-00048,RIDGE,5,0.654,0,,,2+3,,,R1,V,12,26/01/2010
FLR-00049,LAMP,5,0.4887664,4,N-009,796.5244,,4,0,,,,
FLR-00050,RIDGE,5,0.9017,0,,,1+1+3,,,R1,J,4,31/01/2009
FLR-00051,RIDGE,5,0.77,0,,,1+1+3,,,R1,N,6,03/04/2010
FLR-00052,RIDGE,5,0.6500649,0,,,1+1+3,,,R1,U,11,26/03/2015
FLR-00053,LAMP,4,1.2521333,2,N-035,30654.9121,,0,0,,,,
FLR-00054,RIDGE,8,0.3373943,0,,,8i,,,R1,A,1,02-03-2015
FLR-00055,LAMP,5,1.2473417,1,N-013,20692.2822,,2,0,,,,
FLR-00056,RIDGE,7,1.435,5722,,,7D1,,,R1,F,3,12/02/2010
FLR-00057,LAMP,5,1.2782866,3,N-019,3693.5358,,2,0,,,,
FLR-00058,RIDGE,5,0.8227,5981,,,1+1+3,,,R1,J,4,03/05/2008
FLR-00059,RIDGE,4,0.739,0,,,1+31,,,R1,V,12,22/01/2010
FLR-00060,RIDGE,5,1.2996,5727,,,1+1+3,,,R1,F,3,04/03/2010
FLR-00061,RIDGE,5,1.1469,0,,,5R3,,,R2,K,5,02/06/2012
FLR-00062,LAMP,5,1.0582238,2,N-003,17512.3923,,2,0,,,,
FLR-00063,RIDGE,7,0.3510353,0,,,7i,,,R1,A,1,16-04-2014
FLR-00064,RIDGE,5,0.356,5125,,,5R1,,,R1,V,12,03/02/2010
FLR-00065,LAMP,5,1.1412916,1,N-003,17433.9222,,2,0,,,,
FLR-00066,RIDGE,5,1.133,0,,,1+1+3,,,R1,A,1,17/03/2010
FLR-00067,RIDGE,5,1.0242,0,,,5R3,,,R2,P,7,24/04/2008
FLR-00068,RIDGE,8,0.274,0,,,8i,,,R1,T,10,04/02/2010
